"id","mine_id","date","latitude","longitude","geometry","b4","b8","b11","ndvi","nbr","anomaly_label","anomaly_score","excavated_flag"
710,0,"2025-01-22","24.380135154560147","81.40917793433921","0101000020E6100000D58EA5F82F5A54404FE5988950613840","-0.9495025430484249","0.38417995849428466","-0.814814380830091","1.190361762107173","1.0727891038697572",1,"0.0878236450019465",0
711,0,"2025-01-22","24.3801354207782","81.40907932733509","0101000020E6100000EE170F5B2E5A5440274B108E50613840","-0.8853247248166564","0.4007804270114075","-0.814814380830091","1.0947865096977332","1.0831688380544005",1,"0.08707139012454218",0
712,0,"2025-01-22","24.380135686932093","81.40898072032955","0101000020E6100000A3A078BD2C5A5440746A879250613840","-0.8689071434085295","0.5398093508423107","-0.21467391868337668","1.0971460999446008","0.5063627308554323",1,"0.035321721080935065",0
713,0,"2025-01-22","24.380135953021824","81.40888211332259","0101000020E6100000F428E21F2B5A54403543FE9650613840","-0.5898082594703733","-0.9708332842158622","-0.21467391868337668","0.24197476211622587","-0.5961038147142708",1,"0.037620986964088",0
714,0,"2025-01-22","24.380136219047397","81.40878350631421","0101000020E6100000E1B04B82295A54406BD5749B50613840","0.25196591454631184","-0.36699124190552107","1.1523918846389487","-0.5541225073804237","-1.2392170610636781",1,"0.014481958533812733",0
715,0,"2025-01-22","24.380136485008812","81.40868489930442","0101000020E61000006B38B5E4275A54401621EB9F50613840","1.2191107102250565","0.3198531429904339","1.1523918846389487","-1.077776994159316","-0.7761073568304357",1,"0.07759263494410862",0
716,0,"2025-01-22","24.38013675090607","81.40858629229318","0101000020E61000008FBF1E47265A5440362661A450613840","1.9474543217855924","1.4901861734475899","2.0746980105508825","-1.1232016081707001","-0.6915325865217578",-1,"-0.0164062228332168",0
717,0,"2025-01-22","24.380137016739162","81.40848768528053","0101000020E6100000504688A9245A5440CAE4D6A850613840","1.290751065460519","1.766168962544756","2.0746980105508825","-0.65350106637599","-0.551768571337634",-1,"-0.04951266146936273",0
718,0,"2025-01-22","24.380137282508098","81.40838907826647","0101000020E6100000ADCCF10B235A5440D35C4CAD50613840","0.14152036689164038","1.4943362905768705","0.9627988170249037","0.1510339179468439","0.03812284179279756",-1,"-0.01913218855058596",0
719,0,"2025-01-22","24.38013754821288","81.40829047125098","0101000020E6100000A6525B6E215A5440528EC1B150613840","-0.5823457224666793","0.6871385089317754","0.9627988170249037","0.7347441403559841","-0.414310771616063",-1,"-0.03542975264178494",0
720,0,"2025-01-22","24.380137813853494","81.40819186423407","0101000020E61000003BD8C4D01F5A5440447936B650613840","-0.8793546952137011","0.47548253533845997","-0.4227986395228548","1.1003281075778926","0.6825156429846129",1,"0.05594483751920293",0
721,0,"2025-01-22","24.380138079429955","81.40809325721574","0101000020E61000006C5D2E331E5A5440AC1DABBA50613840","-0.8629371138055743","0.720339445966021","-0.4227986395228548","1.122000818619854","0.8314551594758518",1,"0.05718767674857733",0
722,0,"2025-01-22","24.380138344942253","81.40799465019597","0101000020E610000038E297951C5A5440887B1FBF50613840","-0.819654399184149","0.7929664957284331","-1.0115350073769949","1.0739928075602547","1.5612816334333752",1,"0.045318309246516864",0
723,0,"2025-01-22","24.38013861039039","81.40789604317482","0101000020E6100000A26601F81A5A5440D89293C350613840","-0.8599520990040966","0.30947785016723217","-1.0115350073769949","1.0379368791053163","1.2732944339490415",1,"0.07930926109113878",0
724,0,"2025-01-22","24.3802254706248","81.4091782250316","0101000020E6100000BFAFDDF92F5A54409270D97456613840","-0.8942797692210892","0.20779998049985515","-1.0514493374010045","1.069622148000906","1.2610098952610216",1,"0.07996447465648598",0
725,0,"2025-01-22","24.38022573684396","81.40907961795742","0101000020E61000009625475C2E5A5440A2D7507956613840","-0.9450250208462084","0.1268726964788816","-1.0514493374010045","1.1337350468846705","1.2084685220264373",1,"0.08615943825102679",0
726,0,"2025-01-22","24.380226002998967","81.40898101088185","0101000020E61000000B9BB0BE2C5A544028F8C77D56613840","-0.8703996508092683","0.2098750390644955","-0.9131746941035429","1.0329911024925242","1.0835569540582866",1,"0.08527535720765045",0
727,0,"2025-01-22","24.38022626908981","81.40888240380484","0101000020E61000001B101A212B5A544022D23E8256613840","-0.7092088515294775","-0.7467269592347047","-0.9131746941035429","0.5161230544559696","0.38526587232233683",1,"0.03656249463464806",0
728,0,"2025-01-22","24.380226535116496","81.4087837967264","0101000020E6100000C6848383295A54409165B58656613840","-0.17638370946572474","-0.21966208381605642","0.4724227624442155","-0.03160462443425162","-0.6272032774382064",1,"0.05165339001601427",0
729,0,"2025-01-22","24.380226801079022","81.40868518964656","0101000020E61000000FF9ECE5275A544075B22B8B56613840","1.0370248073349224","0.7888163785991524","0.4724227624442155","-0.7825269669882694","0.029195025502736234",-1,"-0.0007273329680264062",0
730,0,"2025-01-22","24.380227066977387","81.40858658256528","0101000020E6100000F26C5648265A5440CDB8A18F56613840","1.1146351921733402","1.7703190796740367","0.36550937845133286","-0.536781577984998","0.652995572603845",-1,"-0.08297774974982619",0
731,0,"2025-01-22","24.380227332811593","81.40848797548259","0101000020E610000072E0BFAA245A54409A78179456613840","-0.05399810260514287","1.6001642773735283","0.36550937845133286","0.3598225726543685","0.566832176001234",-1,"-0.027450711625623736",0
732,0,"2025-01-22","24.38022759858164","81.40838936839846","0101000020E61000008D53290D235A5440DCF18C9856613840","-0.7539840735516417","0.9299203609946961","-0.7677724918732226","1.0098435612787124","1.339055247127643",1,"0.03473950331693054",0
733,0,"2025-01-22","24.380227864287527","81.40829076131291","0101000020E610000044C6926F215A54409224029D56613840","-0.925622424636604","0.45265689112741614","-0.7677724918732226","1.1660131464389498","1.0587151125449865",1,"0.08860804196172911",0
734,0,"2025-01-22","24.380228129929254","81.40819215422596","0101000020E61000009838FCD11F5A5440BD1077A156613840","-0.9957702724713278","0.27835197169762693","-1.0600024081204351","1.2448474315631162","1.3173063440130237",1,"0.07541782275526532",0
735,0,"2025-01-22","24.38022839550682","81.40809354713758","0101000020E610000088AA65341E5A54405CB6EBA556613840","-0.9495025430484249","0.29080232308546905","-1.0600024081204351","1.1729508984780486","1.3251611969795618",1,"0.08756137718433865",0
736,0,"2025-01-22","24.38031605290865","81.40907990858118","0101000020E6100000A3337F5D2E5A5440EF6291645C613840","-1.0465155240964472","-0.10345880419619696","-1.0514493374010045","1.2598803011996627","1.0531435110273182",1,"0.05350212652893244",0
